day_index,plan_day,issue_time,planned_initial_energy_kwh,executed_initial_energy_kwh,upstream_planned_initial_energy_kwh,planned_initial_source,q0_source
0,2025-01-01,2025-01-01,6000.0,6000.0,6000.0,previous_confirmed_contract_and_last_release,Q4_causal_callback
1,2025-01-02,2025-01-02,3783.278582777777,3869.5352031481475,3916.1970735185178,previous_confirmed_contract_and_last_release,Q4_causal_callback
2,2025-01-03,2025-01-03,3742.336641481481,3942.699220925925,3863.858335925925,previous_confirmed_contract_and_last_release,Q4_causal_callback
3,2025-01-04,2025-01-04,10800.0,10800.0,10800.0,previous_confirmed_contract_and_last_release,Q4_causal_callback
4,2025-01-05,2025-01-05,10800.0,10775.879338333332,10798.495453333331,previous_confirmed_contract_and_last_release,Q4_causal_callback
5,2025-01-06,2025-01-06,1923.015558395064,2030.7343917283974,2068.657373209879,previous_confirmed_contract_and_last_release,Q4_causal_callback
6,2025-01-07,2025-01-07,1982.3615737037035,2106.9580829629626,2101.4206979629625,previous_confirmed_contract_and_last_release,Q4_causal_callback
7,2025-01-08,2025-01-08,2343.406408888889,2459.9907237037037,2487.813338703704,previous_confirmed_contract_and_last_release,Q4_causal_callback
8,2025-01-09,2025-01-09,4433.573112222222,4426.656372222222,3810.273604555562,previous_confirmed_contract_and_last_release,Q4_causal_callback
9,2025-01-10,2025-01-10,4939.3398137094155,4976.101791209416,3666.4912305555554,previous_confirmed_contract_and_last_release,Q4_causal_callback
10,2025-01-11,2025-01-11,5352.700022977781,5386.000022977782,3027.448405885184,previous_confirmed_contract_and_last_release,Q4_causal_callback
11,2025-01-12,2025-01-12,5135.244053518519,5107.519738703704,3192.535291851852,previous_confirmed_contract_and_last_release,Q4_causal_callback
12,2025-01-13,2025-01-13,5328.296408296292,5371.10819050333,4321.252870037038,previous_confirmed_contract_and_last_release,Q4_causal_callback
13,2025-01-14,2025-01-14,5118.733838881485,5082.181451555559,4034.8291355555552,previous_confirmed_contract_and_last_release,Q4_causal_callback
14,2025-01-15,2025-01-15,5113.191977388964,5085.711084814816,3803.0728707407416,previous_confirmed_contract_and_last_release,Q4_causal_callback
15,2025-01-16,2025-01-16,8001.626753455556,8065.7177210481495,4436.477120370367,previous_confirmed_contract_and_last_release,Q4_causal_callback
16,2025-01-17,2025-01-17,9766.481434237036,9795.616421737035,4561.133430824191,previous_confirmed_contract_and_last_release,Q4_causal_callback
17,2025-01-18,2025-01-18,10165.307649924074,10141.765251174074,4886.624458592594,previous_confirmed_contract_and_last_release,Q4_causal_callback
18,2025-01-19,2025-01-19,10634.689389333333,10601.617889333333,4018.328131111109,previous_confirmed_contract_and_last_release,Q4_causal_callback
19,2025-01-20,2025-01-20,6062.551079870373,6030.972397370372,5064.267725629624,previous_confirmed_contract_and_last_release,Q4_causal_callback
20,2025-01-21,2025-01-21,6460.891148638889,6424.942099333333,5372.83875689257,previous_confirmed_contract_and_last_release,Q4_causal_callback
21,2025-01-22,2025-01-22,6425.665474238891,6429.965910488891,5035.98149412963,previous_confirmed_contract_and_last_release,Q4_causal_callback
22,2025-01-23,2025-01-23,5728.180399518978,5723.2743645189785,4350.978890277772,previous_confirmed_contract_and_last_release,Q4_causal_callback
23,2025-01-24,2025-01-24,7006.619132111113,7014.559869611112,5055.811976384813,previous_confirmed_contract_and_last_release,Q4_causal_callback
24,2025-01-25,2025-01-25,10509.969535268518,10479.046559018518,3291.5180197816617,previous_confirmed_contract_and_last_release,Q4_causal_callback
25,2025-01-26,2025-01-26,10305.99854946296,10344.51616057407,3259.855821388891,previous_confirmed_contract_and_last_release,Q4_causal_callback
26,2025-01-27,2025-01-27,3531.726771666667,3496.8399244444445,4198.36365296296,previous_confirmed_contract_and_last_release,Q4_causal_callback
27,2025-01-28,2025-01-28,4890.940731212963,4911.616502462964,4674.849585207593,previous_confirmed_contract_and_last_release,Q4_causal_callback
28,2025-01-29,2025-01-29,4472.8505260787115,4473.793298578711,4343.778228277784,previous_confirmed_contract_and_last_release,Q4_causal_callback
29,2025-01-30,2025-01-30,5608.650732466387,5560.295873577498,5128.189675370372,previous_confirmed_contract_and_last_release,Q4_causal_callback
30,2025-01-31,2025-01-31,4539.687691055557,4510.758061055557,4575.8344301296265,previous_confirmed_contract_and_last_release,Q4_causal_callback
31,2025-02-01,2025-02-01,10280.71262138889,10300.422321388889,3696.146990203704,previous_confirmed_contract_and_last_release,Q4_causal_callback
32,2025-02-02,2025-02-02,10762.38077687259,10763.422721872588,4265.419233475304,previous_confirmed_contract_and_last_release,Q4_causal_callback
33,2025-02-03,2025-02-03,5798.258329629631,5795.003375925927,5162.784542151806,previous_confirmed_contract_and_last_release,Q4_causal_callback
34,2025-02-04,2025-02-04,5336.837566899076,5331.946156899076,5129.671634777778,previous_confirmed_contract_and_last_release,Q4_causal_callback
35,2025-02-05,2025-02-05,5207.307658916665,5228.991917666665,4783.475988240755,previous_confirmed_contract_and_last_release,Q4_causal_callback
36,2025-02-06,2025-02-06,5147.637057382061,5178.903288863543,4848.43646486224,previous_confirmed_contract_and_last_release,Q4_causal_callback
37,2025-02-07,2025-02-07,5322.060565521842,5345.283224271842,4708.850839528576,previous_confirmed_contract_and_last_release,Q4_causal_callback
38,2025-02-08,2025-02-08,10341.274149074074,10356.503049074074,3683.091445074075,previous_confirmed_contract_and_last_release,Q4_causal_callback
39,2025-02-09,2025-02-09,10118.014407240285,10158.339259740285,4783.22639052926,previous_confirmed_contract_and_last_release,Q4_causal_callback
40,2025-02-10,2025-02-10,7920.911406252003,7924.2484600020025,4636.979442685186,previous_confirmed_contract_and_last_release,Q4_causal_callback
41,2025-02-11,2025-02-11,6405.435918273153,6374.1671507731535,5402.405331555007,previous_confirmed_contract_and_last_release,Q4_causal_callback
42,2025-02-12,2025-02-12,3772.494313009259,3784.455676759259,4943.291459629629,previous_confirmed_contract_and_last_release,Q4_causal_callback
43,2025-02-13,2025-02-13,6396.3647183773155,6421.685574858797,4578.371450370372,previous_confirmed_contract_and_last_release,Q4_causal_callback
44,2025-02-14,2025-02-14,7246.198047685184,7251.987507685185,5136.213979815741,previous_confirmed_contract_and_last_release,Q4_causal_callback
45,2025-02-15,2025-02-15,10101.2481945,10086.8349045,4645.231351487082,previous_confirmed_contract_and_last_release,Q4_causal_callback
46,2025-02-16,2025-02-16,10174.368098998459,10189.697498998457,4225.42437,previous_confirmed_contract_and_last_release,Q4_causal_callback
47,2025-02-17,2025-02-17,7456.075769224537,7493.316869224537,4297.51885074074,previous_confirmed_contract_and_last_release,Q4_causal_callback
48,2025-02-18,2025-02-18,7126.969073181329,7150.193318551699,4408.262201527208,previous_confirmed_contract_and_last_release,Q4_causal_callback
49,2025-02-19,2025-02-19,5755.8292459760805,5773.177885976081,4485.634786893692,previous_confirmed_contract_and_last_release,Q4_causal_callback
50,2025-02-20,2025-02-20,5355.985519814814,5318.367927222222,4050.34083824074,previous_confirmed_contract_and_last_release,Q4_causal_callback
51,2025-02-21,2025-02-21,5761.083920370472,5749.285074120472,4355.368312037037,previous_confirmed_contract_and_last_release,Q4_causal_callback
52,2025-02-22,2025-02-22,10165.82400668519,10138.719884185191,4623.987073685184,previous_confirmed_contract_and_last_release,Q4_causal_callback
53,2025-02-23,2025-02-23,10389.258695107923,10340.837226959775,4282.025878721664,previous_confirmed_contract_and_last_release,Q4_causal_callback
54,2025-02-24,2025-02-24,6654.469662830254,6650.888296580254,4395.560764722218,previous_confirmed_contract_and_last_release,Q4_causal_callback
55,2025-02-25,2025-02-25,6282.3686152137325,6322.912680028548,4391.969021851852,previous_confirmed_contract_and_last_release,Q4_causal_callback
56,2025-02-26,2025-02-26,7233.239360883088,7242.736854633088,4199.411089018523,previous_confirmed_contract_and_last_release,Q4_causal_callback
57,2025-02-27,2025-02-27,5536.533674395731,5534.843456803138,4439.825971203703,previous_confirmed_contract_and_last_release,Q4_causal_callback
58,2025-02-28,2025-02-28,9405.932889176618,9426.337715426618,4415.103198811499,previous_confirmed_contract_and_last_release,Q4_causal_callback
59,2025-03-01,2025-03-01,9995.126720379856,9982.669966629857,4443.881395482853,previous_confirmed_contract_and_last_release,Q4_causal_callback
60,2025-03-02,2025-03-02,10257.728350395833,10277.866109145833,4377.224081111111,previous_confirmed_contract_and_last_release,Q4_causal_callback
61,2025-03-03,2025-03-03,7159.991549550927,7154.440844550926,4408.208154814814,previous_confirmed_contract_and_last_release,Q4_causal_callback
62,2025-03-04,2025-03-04,6328.156398310957,6318.689560347994,4419.576976388889,previous_confirmed_contract_and_last_release,Q4_causal_callback
63,2025-03-05,2025-03-05,4874.5300075,4829.0076325,4260.690163740737,previous_confirmed_contract_and_last_release,Q4_causal_callback
64,2025-03-06,2025-03-06,7325.410070793984,7300.911718710651,4299.334040092593,previous_confirmed_contract_and_last_release,Q4_causal_callback
65,2025-03-07,2025-03-07,9814.36306501179,9799.78533376179,4587.510727636297,previous_confirmed_contract_and_last_release,Q4_causal_callback
66,2025-03-08,2025-03-08,10776.50022101929,10797.57747101929,4372.363576351846,previous_confirmed_contract_and_last_release,Q4_causal_callback
67,2025-03-09,2025-03-09,10277.352251833332,10288.669751833331,4495.26206235185,previous_confirmed_contract_and_last_release,Q4_causal_callback
68,2025-03-10,2025-03-10,6708.903603050155,6708.028023050154,4625.751509834931,previous_confirmed_contract_and_last_release,Q4_causal_callback
69,2025-03-11,2025-03-11,7140.850893027782,7126.560824277783,4217.170387777778,previous_confirmed_contract_and_last_release,Q4_causal_callback
70,2025-03-12,2025-03-12,8280.61579503956,8298.975326289561,4986.282192074073,previous_confirmed_contract_and_last_release,Q4_causal_callback
71,2025-03-13,2025-03-13,6217.617323302467,6212.237618302467,4143.360636296296,previous_confirmed_contract_and_last_release,Q4_causal_callback
72,2025-03-14,2025-03-14,6260.865505668384,6260.049156918383,4172.533437962963,previous_confirmed_contract_and_last_release,Q4_causal_callback
73,2025-03-15,2025-03-15,10800.0,10800.0,4478.888298823497,previous_confirmed_contract_and_last_release,Q4_causal_callback
74,2025-03-16,2025-03-16,9917.880185934631,9876.085326166112,4230.934924277779,previous_confirmed_contract_and_last_release,Q4_causal_callback
75,2025-03-17,2025-03-17,8175.333630019259,8151.958886269259,4722.268565870368,previous_confirmed_contract_and_last_release,Q4_causal_callback
76,2025-03-18,2025-03-18,5142.584234537039,5158.182938240743,5357.280481849335,previous_confirmed_contract_and_last_release,Q4_causal_callback
77,2025-03-19,2025-03-19,9678.944125185186,9667.057345185187,4452.736570166662,previous_confirmed_contract_and_last_release,Q4_causal_callback
78,2025-03-20,2025-03-20,5612.402973342589,5630.6210620925885,4776.765977256521,previous_confirmed_contract_and_last_release,Q4_causal_callback
79,2025-03-21,2025-03-21,7161.29188624163,7180.76168374163,4360.146362685184,previous_confirmed_contract_and_last_release,Q4_causal_callback
80,2025-03-22,2025-03-22,10431.83376852778,10422.82825977778,4527.92104618267,previous_confirmed_contract_and_last_release,Q4_causal_callback
81,2025-03-23,2025-03-23,10650.626448185189,10616.652837074078,4861.207622681758,previous_confirmed_contract_and_last_release,Q4_causal_callback
82,2025-03-24,2025-03-24,6812.428197037927,6842.028375787927,4396.152220293548,previous_confirmed_contract_and_last_release,Q4_causal_callback
83,2025-03-25,2025-03-25,7536.047919680977,7524.009425930977,4362.933917431289,previous_confirmed_contract_and_last_release,Q4_causal_callback
84,2025-03-26,2025-03-26,6774.6256237222215,6769.481073722221,4042.260566111112,previous_confirmed_contract_and_last_release,Q4_causal_callback
85,2025-03-27,2025-03-27,7364.359210648149,7369.0135456481485,4566.040963074078,previous_confirmed_contract_and_last_release,Q4_causal_callback
86,2025-03-28,2025-03-28,8286.492306416672,8285.414770166673,4334.73289134385,previous_confirmed_contract_and_last_release,Q4_causal_callback
87,2025-03-29,2025-03-29,10370.992878756177,10323.035628756177,4698.887543685184,previous_confirmed_contract_and_last_release,Q4_causal_callback
88,2025-03-30,2025-03-30,10800.0,10800.0,4484.021250381485,previous_confirmed_contract_and_last_release,Q4_causal_callback
89,2025-03-31,2025-03-31,8216.216838148152,8200.95751814815,5286.91956855624,previous_confirmed_contract_and_last_release,Q4_causal_callback
90,2025-04-01,2025-04-01,6008.531107490744,6015.809501240744,4498.119026334268,previous_confirmed_contract_and_last_release,Q4_causal_callback
91,2025-04-02,2025-04-02,3791.200418179626,3785.147108179626,4461.719692500001,previous_confirmed_contract_and_last_release,Q4_causal_callback
92,2025-04-03,2025-04-03,8333.618186296297,8355.524066296297,4303.20619101852,previous_confirmed_contract_and_last_release,Q4_causal_callback
93,2025-04-04,2025-04-04,7390.473150450408,7390.473150450408,4650.1760825151705,previous_confirmed_contract_and_last_release,Q4_causal_callback
94,2025-04-05,2025-04-05,10800.0,10800.0,4833.885579351856,previous_confirmed_contract_and_last_release,Q4_causal_callback
95,2025-04-06,2025-04-06,10122.791627157409,10143.509353407408,4326.341815069093,previous_confirmed_contract_and_last_release,Q4_causal_callback
96,2025-04-07,2025-04-07,9200.20920164223,9227.33129789223,4672.343904111116,previous_confirmed_contract_and_last_release,Q4_causal_callback
97,2025-04-08,2025-04-08,6798.19628037037,6783.88291537037,4403.168892710924,previous_confirmed_contract_and_last_release,Q4_causal_callback
98,2025-04-09,2025-04-09,6928.436494854938,6905.768999484568,4285.489434166669,previous_confirmed_contract_and_last_release,Q4_causal_callback
99,2025-04-10,2025-04-10,7867.074714555366,7873.150089555366,4289.55675787037,previous_confirmed_contract_and_last_release,Q4_causal_callback
100,2025-04-11,2025-04-11,5120.776100555556,5121.521975555555,4463.947932222223,previous_confirmed_contract_and_last_release,Q4_causal_callback
101,2025-04-12,2025-04-12,10599.178848731477,10615.670204981478,4434.491440259286,previous_confirmed_contract_and_last_release,Q4_causal_callback
102,2025-04-13,2025-04-13,10565.82974613889,10556.98362738889,4948.601058222224,previous_confirmed_contract_and_last_release,Q4_causal_callback
103,2025-04-14,2025-04-14,7434.531873599737,7469.195501099737,4298.118531481481,previous_confirmed_contract_and_last_release,Q4_causal_callback
104,2025-04-15,2025-04-15,5339.048665599228,5363.7661455992275,4396.505014870368,previous_confirmed_contract_and_last_release,Q4_causal_callback
105,2025-04-16,2025-04-16,8790.766217718903,8828.731303968903,4630.617976046296,previous_confirmed_contract_and_last_release,Q4_causal_callback
106,2025-04-17,2025-04-17,5635.8318192908955,5616.416798040896,4338.114457314815,previous_confirmed_contract_and_last_release,Q4_causal_callback
107,2025-04-18,2025-04-18,7959.622743750001,7950.817275000001,4609.517228759256,previous_confirmed_contract_and_last_release,Q4_causal_callback
108,2025-04-19,2025-04-19,10623.993300132963,10626.979188882964,4918.244581388892,previous_confirmed_contract_and_last_release,Q4_causal_callback
109,2025-04-20,2025-04-20,9879.492490352772,9854.605403408328,5063.555565262016,previous_confirmed_contract_and_last_release,Q4_causal_callback
110,2025-04-21,2025-04-21,6523.961056179785,6457.888194837193,4566.552250796302,previous_confirmed_contract_and_last_release,Q4_causal_callback
111,2025-04-22,2025-04-22,6290.437486639661,6312.544940389661,4318.5625851851855,previous_confirmed_contract_and_last_release,Q4_causal_callback
112,2025-04-23,2025-04-23,8517.1288231875,8465.154100687501,4452.184185252854,previous_confirmed_contract_and_last_release,Q4_causal_callback
113,2025-04-24,2025-04-24,7798.524037037813,7800.118147037813,5120.285191517608,previous_confirmed_contract_and_last_release,Q4_causal_callback
114,2025-04-25,2025-04-25,5889.537135147201,5876.659965147202,4362.630300000001,previous_confirmed_contract_and_last_release,Q4_causal_callback
115,2025-04-26,2025-04-26,10411.796510000002,10454.106597500002,4521.055843518523,previous_confirmed_contract_and_last_release,Q4_causal_callback
116,2025-04-27,2025-04-27,10411.738728166669,10411.738728166669,4206.978860092593,previous_confirmed_contract_and_last_release,Q4_causal_callback
117,2025-04-28,2025-04-28,5304.52667992547,5269.672902147692,4287.794411296296,previous_confirmed_contract_and_last_release,Q4_causal_callback
118,2025-04-29,2025-04-29,6182.454100346255,6153.818826596254,4442.824657499999,previous_confirmed_contract_and_last_release,Q4_causal_callback
119,2025-04-30,2025-04-30,3749.9770086064814,3770.0081136064814,4875.4465636296345,previous_confirmed_contract_and_last_release,Q4_causal_callback
120,2025-05-01,2025-05-01,7938.099812407407,7874.476051203703,4785.693164877208,previous_confirmed_contract_and_last_release,Q4_causal_callback
121,2025-05-02,2025-05-02,4885.576510942129,4892.491218442129,3538.131695092593,previous_confirmed_contract_and_last_release,Q4_causal_callback
122,2025-05-03,2025-05-03,9651.153575039358,9646.402754226858,3721.3364810185194,previous_confirmed_contract_and_last_release,Q4_causal_callback
123,2025-05-04,2025-05-04,8368.32800314815,8396.35724388889,4202.629610663471,previous_confirmed_contract_and_last_release,Q4_causal_callback
124,2025-05-05,2025-05-05,6578.622226388888,6650.550596759258,3908.630701666666,previous_confirmed_contract_and_last_release,Q4_causal_callback
125,2025-05-06,2025-05-06,6890.042204814814,6907.341695555555,4152.026308425924,previous_confirmed_contract_and_last_release,Q4_causal_callback
126,2025-05-07,2025-05-07,7767.32306037037,7779.84975537037,3830.8207820370394,previous_confirmed_contract_and_last_release,Q4_causal_callback
127,2025-05-08,2025-05-08,7822.269497055557,7867.112825759261,3873.578370740741,previous_confirmed_contract_and_last_release,Q4_causal_callback
128,2025-05-09,2025-05-09,3870.1057252330297,3871.12476523303,4215.456000925926,previous_confirmed_contract_and_last_release,Q4_causal_callback
129,2025-05-10,2025-05-10,8849.449240802469,8874.15772455247,6138.7679799880725,previous_confirmed_contract_and_last_release,Q4_causal_callback
130,2025-05-11,2025-05-11,8638.198428064474,8649.224645657067,5482.732954833332,previous_confirmed_contract_and_last_release,Q4_causal_callback
131,2025-05-12,2025-05-12,2975.450166009259,2972.8775317500003,5388.52531763236,previous_confirmed_contract_and_last_release,Q4_causal_callback
132,2025-05-13,2025-05-13,4623.37568235108,4668.03161985108,5236.454466620945,previous_confirmed_contract_and_last_release,Q4_causal_callback
133,2025-05-14,2025-05-14,2834.156794558644,2898.6864519660517,5724.13249283333,previous_confirmed_contract_and_last_release,Q4_causal_callback
134,2025-05-15,2025-05-15,6359.563667454342,6417.868821204342,5145.985392870369,previous_confirmed_contract_and_last_release,Q4_causal_callback
135,2025-05-16,2025-05-16,5705.5124285871925,5710.688527337193,5783.424367255834,previous_confirmed_contract_and_last_release,Q4_causal_callback
136,2025-05-17,2025-05-17,9269.118583732252,9245.385388732251,6851.211613548693,previous_confirmed_contract_and_last_release,Q4_causal_callback
137,2025-05-18,2025-05-18,9880.64986152778,9862.56083351852,6626.364690074072,previous_confirmed_contract_and_last_release,Q4_causal_callback
138,2025-05-19,2025-05-19,3975.3660514660464,3956.3979139660464,6104.057223440783,previous_confirmed_contract_and_last_release,Q4_causal_callback
139,2025-05-20,2025-05-20,4576.426125267777,4532.7321602677775,6394.270172870367,previous_confirmed_contract_and_last_release,Q4_causal_callback
140,2025-05-21,2025-05-21,3573.190545745371,3551.104984495371,6081.496778939417,previous_confirmed_contract_and_last_release,Q4_causal_callback
141,2025-05-22,2025-05-22,4276.351136018518,4251.201558518518,4869.090267126824,previous_confirmed_contract_and_last_release,Q4_causal_callback
142,2025-05-23,2025-05-23,4615.571006196758,4618.894406196759,7017.088481506173,previous_confirmed_contract_and_last_release,Q4_causal_callback
143,2025-05-24,2025-05-24,9745.52755364352,9714.47294864352,5429.065082487042,previous_confirmed_contract_and_last_release,Q4_causal_callback
144,2025-05-25,2025-05-25,9427.985249395835,9432.783348145835,5675.939370174099,previous_confirmed_contract_and_last_release,Q4_causal_callback
145,2025-05-26,2025-05-26,4862.316511981482,4917.1265682314815,6603.713760412335,previous_confirmed_contract_and_last_release,Q4_causal_callback
146,2025-05-27,2025-05-27,4267.214474878859,4264.891961128858,4568.241843166681,previous_confirmed_contract_and_last_release,Q4_causal_callback
147,2025-05-28,2025-05-28,5032.777668888889,4988.211168888889,5875.649433696852,previous_confirmed_contract_and_last_release,Q4_causal_callback
148,2025-05-29,2025-05-29,3988.1825972746915,3981.2015185246914,6412.81254604582,previous_confirmed_contract_and_last_release,Q4_causal_callback
149,2025-05-30,2025-05-30,5018.391056087189,5053.835639837189,4834.357768703704,previous_confirmed_contract_and_last_release,Q4_causal_callback
150,2025-05-31,2025-05-31,10800.0,10800.0,4820.615001944441,previous_confirmed_contract_and_last_release,Q4_causal_callback
151,2025-06-01,2025-06-01,10800.0,10707.299074074073,5742.924273905165,previous_confirmed_contract_and_last_release,Q4_causal_callback
152,2025-06-02,2025-06-02,4160.670818437501,4148.065031400464,3356.6250050925923,previous_confirmed_contract_and_last_release,Q4_causal_callback
153,2025-06-03,2025-06-03,3654.1098655540113,3677.779925739196,3218.6120657407405,previous_confirmed_contract_and_last_release,Q4_causal_callback
154,2025-06-04,2025-06-04,4490.628235188932,4489.832878938932,4076.427971759259,previous_confirmed_contract_and_last_release,Q4_causal_callback
155,2025-06-05,2025-06-05,3905.117600151685,3889.027979781314,3838.5468007407408,previous_confirmed_contract_and_last_release,Q4_causal_callback
156,2025-06-06,2025-06-06,5018.932472640634,4988.416427640634,3579.225744722222,previous_confirmed_contract_and_last_release,Q4_causal_callback
