day,date,phase,soc_midnight_kwh,predicted_start_soc_kwh,actual_start_soc_kwh,price_max_source_time,max_lp_residual_kwh
0,2025-01-01,cold_start,6000.0,6000.0,6000.0,,0.0
1,2025-01-02,cold_start,6000.0,6000.0,6000.0,,0.0
2,2025-01-03,cold_start,6000.0,6000.0,6000.0,,0.0
3,2025-01-04,cold_start,6000.0,6000.0,6000.0,,0.0
4,2025-01-05,cold_start,6000.0,6000.0,6000.0,,0.0
5,2025-01-06,cold_start,6000.0,6000.0,6000.0,,0.0
6,2025-01-07,cold_start,6000.0,6000.0,6000.0,,0.0
7,2025-01-08,dynamic,6000.0,6000.0,6000.0,2025-01-02,1.1368683772161603e-13
8,2025-01-09,dynamic,5585.985785741386,6335.985785741386,6335.985785741386,2025-01-03,1.1368683772161603e-13
9,2025-01-10,dynamic,3580.768153110532,3606.508168110532,3637.909168110532,2025-01-04,4.547473508864641e-13
10,2025-01-11,dynamic,8197.121188593073,8220.778603593073,8251.275103593074,2025-01-05,9.094947017729282e-13
11,2025-01-12,dynamic,10749.857570259257,10766.964662259257,10754.766662259257,2025-01-06,1.4551915228366852e-11
12,2025-01-13,dynamic,7733.102322111111,7739.191368111111,7772.279868111111,2025-01-07,4.547473508864641e-13
13,2025-01-14,dynamic,7356.338590555555,7368.536590555555,7342.755257222221,2025-01-08,9.094947017729282e-13
14,2025-01-15,dynamic,5822.549045111115,5827.896245111116,5821.246822888893,2025-01-09,1.1368683772161603e-13
15,2025-01-16,dynamic,7315.574633777778,7329.856256777778,7367.4567567777785,2025-01-10,9.094947017729282e-13
16,2025-01-17,dynamic,1602.6695469814817,2352.6695469814817,2352.6695469814817,2025-01-11,1.8189894035458565e-12
17,2025-01-18,dynamic,7121.710926203619,7871.710926203619,7871.710926203619,2025-01-12,9.094947017729282e-13
18,2025-01-19,dynamic,9884.331734722224,9890.733734722224,9857.466919907409,2025-01-13,4.547473508864641e-13
19,2025-01-20,dynamic,7206.343668554861,7956.343668554861,7942.372518554861,2025-01-14,9.094947017729282e-13
20,2025-01-21,dynamic,5428.1596698703715,6178.1596698703715,6152.066119870371,2025-01-15,4.547473508864641e-13
21,2025-01-22,dynamic,6371.33631277778,7121.33631277778,7121.33631277778,2025-01-16,1.8189894035458565e-12
22,2025-01-23,dynamic,6391.688191500001,7141.688191500001,7141.688191500001,2025-01-17,1.1368683772161603e-13
23,2025-01-24,dynamic,1361.3374632407415,2111.3374632407413,2111.3374632407413,2025-01-18,1.8189894035458565e-12
24,2025-01-25,dynamic,7323.24219125904,8073.24219125904,8066.68854125904,2025-01-19,9.094947017729282e-13
25,2025-01-26,dynamic,10471.042883500006,10478.604083500006,10525.104833500005,2025-01-20,1.1368683772161603e-13
26,2025-01-27,dynamic,6200.839648203411,6211.878448203412,6181.059463018226,2025-01-21,1.1368683772161603e-13
27,2025-01-28,dynamic,6736.795903592593,7486.795903592593,7486.795903592593,2025-01-22,1.1368683772161603e-13
28,2025-01-29,dynamic,7248.195972962963,7660.393972963561,7659.350722963561,2025-01-23,9.094947017729282e-13
29,2025-01-30,dynamic,9408.403546166666,9418.283146166666,9405.599657277777,2025-01-24,9.094947017729282e-13
30,2025-01-31,dynamic,2229.1527560185177,2979.1527560185177,2972.709956018518,2025-01-25,9.094947017729282e-13
