interval_start,interval_end,plan_day,step,phase,decision_time,price_forecast_yuan_per_kwh,price_actual_yuan_per_kwh,price_max_source_time,load_actual_kwh,pv_actual_kwh,load_forecast_kwh,pv_forecast_kwh,plan_grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_supply_kwh,soc_before_kwh,soc_after_kwh,plan_cost_actual_yuan,emergency_cost_actual_yuan
2025-01-01 00:10:00,2025-01-01 00:20:00,2025-01-01 00:00:00,0,cold_start,2025-01-01 00:00:00,,0.4527,,588.2882666666667,0.0,573.3077666666666,0.0,573.3077666666666,0.0,0.0,14.98050000000012,0.0,6000.0,6000.0,259.5364259699999,33.908361750000275
2025-01-01 00:20:00,2025-01-01 00:30:00,2025-01-01 00:00:00,1,cold_start,2025-01-01 00:00:00,,0.4733,,601.5881166666666,0.0,572.9965333333333,0.0,572.9965333333333,0.0,0.0,28.591583333333233,0.0,6000.0,6000.0,271.19925922666664,67.66198195833309
2025-01-01 00:30:00,2025-01-01 00:40:00,2025-01-01 00:00:00,2,cold_start,2025-01-01 00:00:00,,0.4843,,621.0933333333332,0.0,574.0505166666667,0.0,574.0505166666667,0.0,0.0,47.04281666666657,0.0,6000.0,6000.0,278.0126652216667,113.91418055833309
2025-01-01 00:40:00,2025-01-01 00:50:00,2025-01-01 00:00:00,3,cold_start,2025-01-01 00:00:00,,0.4541,,585.1051833333333,0.0,575.7406166666666,0.0,575.7406166666666,0.0,0.0,9.364566666666747,0.0,6000.0,6000.0,261.4438140283333,21.26224861666685
2025-01-01 00:50:00,2025-01-01 01:00:00,2025-01-01 00:00:00,4,cold_start,2025-01-01 00:00:00,,0.4266,,583.7604166666666,0.0,576.4712166666666,0.0,576.4712166666666,0.0,0.0,7.289200000000051,0.0,6000.0,6000.0,245.92262102999996,15.547863600000108
2025-01-01 01:00:00,2025-01-01 01:10:00,2025-01-01 00:00:00,5,cold_start,2025-01-01 00:00:00,,0.4311,,631.1683333333333,0.0,576.6400166666666,0.0,576.6400166666666,0.0,0.0,54.52831666666668,0.0,6000.0,6000.0,248.58951118499996,117.53578657500003
2025-01-01 01:10:00,2025-01-01 01:20:00,2025-01-01 00:00:00,6,cold_start,2025-01-01 00:00:00,,0.4544,,650.0534166666666,0.0,577.8597,0.0,577.8597,0.0,0.0,72.19371666666666,0.0,6000.0,6000.0,262.57944768,164.02412426666666
2025-01-01 01:20:00,2025-01-01 01:30:00,2025-01-01 00:00:00,7,cold_start,2025-01-01 00:00:00,,0.4483,,652.8062666666666,0.0,577.9938666666667,0.0,577.9938666666667,0.0,0.0,74.81239999999991,0.0,6000.0,6000.0,259.1146504266667,167.6919945999998
2025-01-01 01:30:00,2025-01-01 01:40:00,2025-01-01 00:00:00,8,cold_start,2025-01-01 00:00:00,,0.4251,,636.2133333333334,0.0,577.82805,0.0,577.82805,0.0,0.0,58.385283333333405,0.0,6000.0,6000.0,245.63470405499996,124.09791972500014
2025-01-01 01:40:00,2025-01-01 01:50:00,2025-01-01 00:00:00,9,cold_start,2025-01-01 00:00:00,,0.444,,588.8356,0.0,580.41545,0.0,580.41545,0.0,0.0,8.420150000000035,0.0,6000.0,6000.0,257.7044598,18.69273300000008
