day_index,date,decision_time,predicted_start_soc_kwh,actual_start_soc_kwh,price_max_source_time,load_source_max,risk_history_days,q0_lp_residual_kwh
31,2025-02-01,2025-02-01,6493.453033407413,6493.453033407413,2025-01-26,2025-02-01,30,4.547473508864641e-13
32,2025-02-02,2025-02-02,10082.107324092593,10104.186574092593,2025-01-27,2025-02-02,31,9.094947017729282e-13
33,2025-02-03,2025-02-03,8230.64501907453,8251.67351907453,2025-01-28,2025-02-03,32,2.2737367544323206e-13
34,2025-02-04,2025-02-04,7811.77608251852,7816.40658251852,2025-01-29,2025-02-04,33,1.1368683772161603e-13
35,2025-02-05,2025-02-05,7678.1244941666655,7678.1244941666655,2025-01-30,2025-02-05,34,2.2737367544323206e-13
36,2025-02-06,2025-02-06,7123.3828635555565,7160.153863555557,2025-01-31,2025-02-06,35,1.1368683772161603e-13
37,2025-02-07,2025-02-07,3286.187191925927,3286.187191925927,2025-02-01,2025-02-07,36,1.1368683772161603e-13
38,2025-02-08,2025-02-08,7821.732860277934,7821.732860277934,2025-02-02,2025-02-08,37,4.547473508864641e-13
39,2025-02-09,2025-02-09,10800.0,10800.0,2025-02-03,2025-02-09,38,9.094947017729282e-13
40,2025-02-10,2025-02-10,5974.055476407407,6000.952726407407,2025-02-04,2025-02-10,39,4.547473508864641e-13
41,2025-02-11,2025-02-11,6789.431029388884,6780.456829388884,2025-02-05,2025-02-11,40,4.547473508864641e-13
42,2025-02-12,2025-02-12,4318.614455629629,4354.582205629629,2025-02-06,2025-02-12,41,9.094947017729282e-13
43,2025-02-13,2025-02-13,7236.904595,7268.146595,2025-02-07,2025-02-13,42,9.094947017729282e-13
44,2025-02-14,2025-02-14,2341.8024882148165,2341.8024882148165,2025-02-08,2025-02-14,43,4.547473508864641e-13
45,2025-02-15,2025-02-15,3579.88023512963,3571.4756055000003,2025-02-09,2025-02-15,44,1.8189894035458565e-12
46,2025-02-16,2025-02-16,10662.471696,10671.779946,2025-02-10,2025-02-16,45,9.094947017729282e-13
47,2025-02-17,2025-02-17,6388.390171814815,6416.507671814816,2025-02-11,2025-02-17,46,9.094947017729282e-13
48,2025-02-18,2025-02-18,7575.00206166729,7599.23306166729,2025-02-12,2025-02-18,47,9.094947017729282e-13
49,2025-02-19,2025-02-19,5113.943544981481,5113.943544981481,2025-02-13,2025-02-19,48,2.2737367544323206e-13
50,2025-02-20,2025-02-20,5865.132384963133,5838.349977555725,2025-02-14,2025-02-20,49,4.547473508864641e-13
51,2025-02-21,2025-02-21,2019.1378354629635,2009.4635854629635,2025-02-15,2025-02-21,50,9.094947017729282e-13
52,2025-02-22,2025-02-22,7266.699674148148,7241.018924148148,2025-02-16,2025-02-22,51,9.094947017729282e-13
53,2025-02-23,2025-02-23,10114.056654907406,10067.12887712963,2025-02-17,2025-02-23,52,9.094947017729282e-13
54,2025-02-24,2025-02-24,6398.62364612963,6397.866573907408,2025-02-18,2025-02-24,53,1.8189894035458565e-12
55,2025-02-25,2025-02-25,4450.380043760607,4470.838543760607,2025-02-19,2025-02-25,54,9.094947017729282e-13
56,2025-02-26,2025-02-26,5959.371052777787,5959.371052777787,2025-02-20,2025-02-26,55,4.547473508864641e-13
57,2025-02-27,2025-02-27,6087.0477680370195,6080.705223592575,2025-02-21,2025-02-27,56,9.094947017729282e-13
58,2025-02-28,2025-02-28,2851.2949028703706,2851.2949028703706,2025-02-22,2025-02-28,57,9.094947017729282e-13
59,2025-03-01,2025-03-01,5026.859334648155,5026.859334648155,2025-02-23,2025-03-01,58,9.094947017729282e-13
60,2025-03-02,2025-03-02,10244.626002944447,10269.853002944448,2025-02-24,2025-03-02,59,9.094947017729282e-13
61,2025-03-03,2025-03-03,6460.137823388889,6452.618173388889,2025-02-25,2025-03-03,60,9.094947017729282e-13
62,2025-03-04,2025-03-04,6030.166613037035,6021.659205629628,2025-02-26,2025-03-04,60,2.2737367544323206e-13
63,2025-03-05,2025-03-05,6401.44164242222,6376.3368924222195,2025-02-27,2025-03-05,60,9.094947017729282e-13
64,2025-03-06,2025-03-06,7321.448752496297,7298.434911755557,2025-02-28,2025-03-06,60,9.094947017729282e-13
