interval_start,interval_end,plan_day,step,phase,decision_time,price_forecast_yuan_per_kwh,price_actual_yuan_per_kwh,price_max_source_time,load_actual_kwh,pv_actual_kwh,load_forecast_kwh,pv_forecast_kwh,plan_grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_supply_kwh,soc_before_kwh,soc_after_kwh,plan_cost_actual_yuan,emergency_cost_actual_yuan
2025-02-01 00:00:00,2025-02-01 00:10:00,2025-01-31 00:00:00,143,dynamic,2025-01-31 00:00:00,0.2955,0.309,2025-01-25 00:00:00,423.96000000000004,0.0,447.5183333333333,0.0,1293.0749999999998,833.3333333333333,0.0,0.0,35.781666666666524,5743.453033407413,6493.453033407413,399.56017499999996,0.0
2025-02-01 00:10:00,2025-02-01 00:20:00,2025-02-01 00:00:00,0,dynamic,2025-02-01 00:00:00,0.3281,0.3281,2025-02-02 00:00:00,422.0303666666667,0.0,451.94828333333334,0.0,455.08606833333334,33.055701666666664,0.0,0.0,0.0,6493.453033407413,6523.203164907413,149.31373902016668,0.0
2025-02-01 00:20:00,2025-02-01 00:30:00,2025-02-01 00:00:00,1,dynamic,2025-02-01 00:00:00,0.3257,0.3257,2025-02-02 00:00:00,415.4073166666667,0.0,447.33687499999996,0.0,447.33687499999996,31.92955833333326,0.0,0.0,0.0,6523.203164907413,6551.9397674074135,145.69762018749998,0.0
2025-02-01 00:30:00,2025-02-01 00:40:00,2025-02-01 00:00:00,2,dynamic,2025-02-01 00:00:00,0.3041,0.3041,2025-02-02 00:00:00,410.7166666666667,0.0,444.065,0.0,1282.0566666666666,833.3333333333333,0.0,0.0,38.00666666666666,6551.9397674074135,7301.9397674074135,389.8734323333333,0.0
2025-02-01 00:40:00,2025-02-01 00:50:00,2025-02-01 00:00:00,3,dynamic,2025-02-01 00:00:00,0.3126,0.3126,2025-02-02 00:00:00,430.29479999999995,0.0,463.26765,0.0,1305.40142,833.3333333333333,0.0,0.0,41.77328666666676,7301.9397674074135,8051.9397674074135,408.06848389199996,0.0
2025-02-01 00:50:00,2025-02-01 01:00:00,2025-02-01 00:00:00,4,dynamic,2025-02-01 00:00:00,0.3286,0.3286,2025-02-02 00:00:00,424.4105833333333,0.0,486.843525,0.0,502.2435550000001,77.83297166666677,0.0,0.0,0.0,8051.9397674074135,8121.9894419074135,165.03723217300004,0.0
2025-02-01 01:00:00,2025-02-01 01:10:00,2025-02-01 00:00:00,5,dynamic,2025-02-01 00:00:00,0.3438,0.3438,2025-02-02 00:00:00,406.0516666666666,0.0,494.3833333333333,0.0,512.6176666666667,106.56600000000003,0.0,0.0,0.0,8121.9894419074135,8217.898841907414,176.23795379999999,0.0
2025-02-01 01:10:00,2025-02-01 01:20:00,2025-02-01 00:00:00,6,dynamic,2025-02-01 00:00:00,0.3704,0.3704,2025-02-02 00:00:00,436.7501833333333,0.0,479.10590833333333,0.0,494.6423766666667,57.89219333333335,0.0,0.0,0.0,8217.898841907414,8270.001815907413,183.21553631733335,0.0
2025-02-01 01:20:00,2025-02-01 01:30:00,2025-02-01 00:00:00,7,dynamic,2025-02-01 00:00:00,0.3746,0.3746,2025-02-02 00:00:00,451.7976833333333,0.0,457.79322499999995,0.0,465.42127833333325,13.623594999999966,0.0,0.0,0.0,8270.001815907413,8282.263051407414,174.34681086366663,0.0
2025-02-01 01:30:00,2025-02-01 01:40:00,2025-02-01 00:00:00,8,dynamic,2025-02-01 00:00:00,0.3606,0.3606,2025-02-02 00:00:00,446.08,0.0,452.1825,0.0,470.7793333333333,24.6993333333333,0.0,0.0,0.0,8282.263051407414,8304.492451407414,169.76302759999996,0.0
2025-02-01 01:40:00,2025-02-01 01:50:00,2025-02-01 00:00:00,9,dynamic,2025-02-01 00:00:00,0.3582,0.3582,2025-02-02 00:00:00,471.7663333333333,0.0,474.225575,0.0,484.4030783333333,12.636745000000019,0.0,0.0,0.0,8304.492451407414,8315.865521907413,173.513182659,0.0
