day,issue_time,schedule,release_hour,block_start,block_end_exclusive,soc_kwh,accepted,keep_score_yuan,new_score_yuan,changed_intervals,risk_days,risk_day_first,risk_day_last,gate_days,gate_day_first,gate_day_last,load_source_max,load_correction_source_max,price_max_source_time,price_current_actual_step,lp_residual_kwh,planned_mutex_violations
2025-02-01 00:00:00,2025-02-01 06:00:00,M3,6,35,71,10209.798703703704,False,,,0,31,2025-01-01 00:00:00,2025-01-31 00:00:00,0,,,2025-02-01 00:10:00,2025-02-01 06:00:00,2025-02-01 06:00:00,35,9.094947017729282e-13,0
2025-02-01 00:00:00,2025-02-01 12:00:00,M3,12,71,107,7073.004397037038,False,,,0,31,2025-01-01 00:00:00,2025-01-31 00:00:00,0,,,2025-02-01 00:10:00,2025-02-01 12:00:00,2025-02-01 12:00:00,71,0.0,0
2025-02-01 00:00:00,2025-02-01 18:00:00,M3,18,107,144,10629.292511728394,False,,,0,31,2025-01-01 00:00:00,2025-01-31 00:00:00,0,,,2025-02-01 00:10:00,2025-02-01 18:00:00,2025-02-01 18:00:00,107,0.0,0
2025-02-02 00:00:00,2025-02-02 06:00:00,M3,6,35,71,10800.0,False,,,0,32,2025-01-01 00:00:00,2025-02-01 00:00:00,0,,,2025-02-02 00:10:00,2025-02-02 06:00:00,2025-02-02 06:00:00,35,9.094947017729282e-13,0
2025-02-02 00:00:00,2025-02-02 12:00:00,M3,12,71,107,6953.617240123458,False,,,0,32,2025-01-01 00:00:00,2025-02-01 00:00:00,0,,,2025-02-02 00:10:00,2025-02-02 12:00:00,2025-02-02 12:00:00,71,9.094947017729282e-13,0
2025-02-02 00:00:00,2025-02-02 18:00:00,M3,18,107,144,10800.0,False,,,0,32,2025-01-01 00:00:00,2025-02-01 00:00:00,0,,,2025-02-02 00:10:00,2025-02-02 18:00:00,2025-02-02 18:00:00,107,0.0,0
2025-02-03 00:00:00,2025-02-03 06:00:00,M3,6,35,71,10800.0,False,,,0,33,2025-01-01 00:00:00,2025-02-02 00:00:00,0,,,2025-02-03 00:10:00,2025-02-03 06:00:00,2025-02-03 06:00:00,35,2.2737367544323206e-13,0
2025-02-03 00:00:00,2025-02-03 12:00:00,M3,12,71,107,7698.424111049388,False,,,0,33,2025-01-01 00:00:00,2025-02-02 00:00:00,0,,,2025-02-03 00:10:00,2025-02-03 12:00:00,2025-02-03 12:00:00,71,2.2737367544323206e-13,0
2025-02-03 00:00:00,2025-02-03 18:00:00,M3,18,107,144,10800.0,False,,,0,33,2025-01-01 00:00:00,2025-02-02 00:00:00,0,,,2025-02-03 00:10:00,2025-02-03 18:00:00,2025-02-03 18:00:00,107,0.0,0
2025-02-04 00:00:00,2025-02-04 06:00:00,M3,6,35,71,10800.0,False,,,0,34,2025-01-01 00:00:00,2025-02-03 00:00:00,0,,,2025-02-04 00:10:00,2025-02-04 06:00:00,2025-02-04 06:00:00,35,9.094947017729282e-13,0
