interval_start,interval_end,plan_day,natural_day,step,template_label,schedule,release_used,price_forecast_yuan_per_kwh,price_actual_yuan_per_kwh,price_max_source_time,load_actual_kwh,pv_actual_kwh,q0_kwh,qfinal_kwh,base_plan_cost_yuan,up_adjustment_cost_yuan,down_refund_B_yuan,ordinary_cost_B_yuan,emergency_kwh,emergency_cost_yuan,charge_kwh,discharge_kwh,unused_supply_kwh,soc_before_kwh,soc_after_kwh
2025-02-01 00:00:00,2025-02-01 00:10:00,2025-01-31 00:00:00,2025-02-01 00:00:00,143,0:00-0:10+1,M3,Q4_January_warmup,0.2955,0.309,2025-01-25 00:00:00,423.96000000000004,0.0,1293.0749999999998,1293.0749999999998,399.56017499999996,0.0,-0.0,399.56017499999996,0.0,0.0,833.3333333333333,0.0,35.781666666666524,5743.453033407413,6493.453033407413
2025-02-01 00:10:00,2025-02-01 00:20:00,2025-02-01 00:00:00,2025-02-01 00:00:00,0,0:10-0:20,M3,0,0.3281,0.3281,2025-02-02 00:00:00,422.0303666666667,0.0,451.94828333333334,451.94828333333334,148.28423176166666,0.0,-0.0,148.28423176166666,0.0,0.0,29.917916666666656,0.0,0.0,6493.453033407413,6520.379158407413
2025-02-01 00:20:00,2025-02-01 00:30:00,2025-02-01 00:00:00,2025-02-01 00:00:00,1,0:20-0:30,M3,0,0.3257,0.3257,2025-02-02 00:00:00,415.4073166666667,0.0,447.33687499999996,447.33687499999996,145.69762018749998,0.0,-0.0,145.69762018749998,0.0,0.0,31.92955833333326,0.0,0.0,6520.379158407413,6549.1157609074135
2025-02-01 00:30:00,2025-02-01 00:40:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2,0:30-0:40,M3,0,0.3041,0.3041,2025-02-02 00:00:00,410.7166666666667,0.0,1279.1139999999998,1279.1139999999998,388.9785673999999,0.0,-0.0,388.9785673999999,0.0,0.0,833.3333333333333,0.0,35.06399999999985,6549.1157609074135,7299.1157609074135
2025-02-01 00:40:00,2025-02-01 00:50:00,2025-02-01 00:00:00,2025-02-01 00:00:00,3,0:40-0:50,M3,0,0.3126,0.3126,2025-02-02 00:00:00,430.29479999999995,0.0,1303.8441199999997,1303.8441199999997,407.58167191199993,0.0,-0.0,407.58167191199993,0.0,0.0,833.3333333333333,0.0,40.215986666666595,7299.1157609074135,8049.1157609074135
2025-02-01 00:50:00,2025-02-01 01:00:00,2025-02-01 00:00:00,2025-02-01 00:00:00,4,0:50-1:00,M3,0,0.3286,0.3286,2025-02-02 00:00:00,424.4105833333333,0.0,502.2062900000001,502.2062900000001,165.02498689400002,0.0,-0.0,165.02498689400002,0.0,0.0,77.79570666666677,0.0,0.0,8049.1157609074135,8119.131896907414
2025-02-01 01:00:00,2025-02-01 01:10:00,2025-02-01 00:00:00,2025-02-01 00:00:00,5,1:00-1:10,M3,0,0.3438,0.3438,2025-02-02 00:00:00,406.0516666666666,0.0,507.2303333333333,507.2303333333333,174.38578859999998,0.0,-0.0,174.38578859999998,0.0,0.0,101.17866666666669,0.0,0.0,8119.131896907414,8210.192696907414
2025-02-01 01:10:00,2025-02-01 01:20:00,2025-02-01 00:00:00,2025-02-01 00:00:00,6,1:10-1:20,M3,0,0.3704,0.3704,2025-02-02 00:00:00,436.7501833333333,0.0,493.12485333333336,493.12485333333336,182.65344567466667,0.0,-0.0,182.65344567466667,0.0,0.0,56.37467000000004,0.0,0.0,8210.192696907414,8260.929899907414
2025-02-01 01:20:00,2025-02-01 01:30:00,2025-02-01 00:00:00,2025-02-01 00:00:00,7,1:20-1:30,M3,0,0.3746,0.3746,2025-02-02 00:00:00,451.7976833333333,0.0,460.3461516666667,460.3461516666667,172.44566841433334,0.0,-0.0,172.44566841433334,0.0,0.0,8.548468333333403,0.0,0.0,8260.929899907414,8268.623521407415
2025-02-01 01:30:00,2025-02-01 01:40:00,2025-02-01 00:00:00,2025-02-01 00:00:00,8,1:30-1:40,M3,0,0.3606,0.3606,2025-02-02 00:00:00,446.08,0.0,468.7923333333333,468.7923333333333,169.04651539999998,0.0,-0.0,169.04651539999998,0.0,0.0,22.712333333333333,0.0,0.0,8268.623521407415,8289.064621407415
2025-02-01 01:40:00,2025-02-01 01:50:00,2025-02-01 00:00:00,2025-02-01 00:00:00,9,1:40-1:50,M3,0,0.3582,0.3582,2025-02-02 00:00:00,471.7663333333333,0.0,481.807415,481.807415,172.583416053,0.0,-0.0,172.583416053,0.0,0.0,10.041081666666685,0.0,0.0,8289.064621407415,8298.101594907415
2025-02-01 01:50:00,2025-02-01 02:00:00,2025-02-01 00:00:00,2025-02-01 00:00:00,10,1:50-2:00,M3,0,0.3041,0.3041,2025-02-02 00:00:00,448.02596666666665,0.0,1341.7789583333333,1341.7789583333333,408.03498122916665,0.0,-0.0,408.03498122916665,0.0,0.0,833.3333333333333,0.0,60.41965833333347,8298.101594907415,9048.101594907415
2025-02-01 02:00:00,2025-02-01 02:10:00,2025-02-01 00:00:00,2025-02-01 00:00:00,11,2:00-2:10,M3,0,0.2537,0.2537,2025-02-02 00:00:00,397.4033333333333,0.0,1355.3003333333331,1355.3003333333331,343.8396945666666,0.0,-0.0,343.8396945666666,0.0,0.0,833.3333333333333,0.0,124.56366666666656,9048.101594907415,9798.101594907415
2025-02-01 02:10:00,2025-02-01 02:20:00,2025-02-01 00:00:00,2025-02-01 00:00:00,12,2:10-2:20,M3,0,0.3346,0.3346,2025-02-02 00:00:00,434.0906333333333,0.0,502.14012166666663,502.14012166666663,168.01608470966667,0.0,-0.0,168.01608470966667,0.0,0.0,68.04948833333333,0.0,0.0,9798.101594907415,9859.346134407415
2025-02-01 02:20:00,2025-02-01 02:30:00,2025-02-01 00:00:00,2025-02-01 00:00:00,13,2:20-2:30,M3,0,0.3971,0.3971,2025-02-02 00:00:00,490.5609166666666,0.0,332.78229826666126,332.78229826666126,132.14785064169118,0.0,-0.0,132.14785064169118,0.0,0.0,0.0,157.77861840000537,0.0,9859.346134407415,9684.03655840741
2025-02-01 02:30:00,2025-02-01 02:40:00,2025-02-01 00:00:00,2025-02-01 00:00:00,14,2:30-2:40,M3,0,0.367,0.367,2025-02-02 00:00:00,503.22,0.0,511.40783333333343,511.40783333333343,187.68667483333337,0.0,-0.0,187.68667483333337,0.0,0.0,8.187833333333401,0.0,0.0,9684.03655840741,9691.405608407409
2025-02-01 02:40:00,2025-02-01 02:50:00,2025-02-01 00:00:00,2025-02-01 00:00:00,15,2:40-2:50,M3,0,0.3185,0.3185,2025-02-02 00:00:00,474.07281666666665,0.0,1334.9543583333332,1334.9543583333332,425.18296312916664,0.0,-0.0,425.18296312916664,0.0,0.0,833.3333333333333,0.0,27.548208333333264,9691.405608407409,10441.405608407409
2025-02-01 02:50:00,2025-02-01 03:00:00,2025-02-01 00:00:00,2025-02-01 00:00:00,16,2:50-3:00,M3,0,0.3285,0.3285,2025-02-02 00:00:00,461.38439999999997,0.0,512.6876550000001,512.6876550000001,168.41789466750004,0.0,-0.0,168.41789466750004,0.0,0.0,51.30325500000009,0.0,0.0,10441.405608407409,10487.57853790741
2025-02-01 03:00:00,2025-02-01 03:10:00,2025-02-01 00:00:00,2025-02-01 00:00:00,17,3:00-3:10,M3,0,0.3772,0.3772,2025-02-02 00:00:00,476.94166666666666,0.0,527.3226666666666,527.3226666666666,198.9061098666666,0.0,-0.0,198.9061098666666,0.0,0.0,50.380999999999915,0.0,0.0,10487.57853790741,10532.92143790741
2025-02-01 03:10:00,2025-02-01 03:20:00,2025-02-01 00:00:00,2025-02-01 00:00:00,18,3:10-3:20,M3,0,0.3815,0.3815,2025-02-02 00:00:00,483.39955,0.0,522.6665433333333,522.6665433333333,199.39728628166665,0.0,-0.0,199.39728628166665,0.0,0.0,39.26699333333329,0.0,0.0,10532.92143790741,10568.261731907409
2025-02-01 03:20:00,2025-02-01 03:30:00,2025-02-01 00:00:00,2025-02-01 00:00:00,19,3:20-3:30,M3,0,0.3822,0.3822,2025-02-02 00:00:00,486.6019166666666,0.0,509.93056666666666,509.93056666666666,194.89546258,0.0,-0.0,194.89546258,0.0,0.0,23.32865000000004,0.0,0.0,10568.261731907409,10589.257516907408
2025-02-01 03:30:00,2025-02-01 03:40:00,2025-02-01 00:00:00,2025-02-01 00:00:00,20,3:30-3:40,M3,0,0.3962,0.3962,2025-02-02 00:00:00,498.84833333333336,0.0,500.36283333333324,500.36283333333324,198.24375456666664,0.0,-0.0,198.24375456666664,0.0,0.0,1.5144999999998845,0.0,0.0,10589.257516907408,10590.620566907408
2025-02-01 03:40:00,2025-02-01 03:50:00,2025-02-01 00:00:00,2025-02-01 00:00:00,21,3:40-3:50,M3,0,0.3879,0.3879,2025-02-02 00:00:00,518.3097333333333,0.0,499.4135616666667,499.4135616666667,193.72252057050002,0.0,-0.0,193.72252057050002,0.0,0.0,0.0,18.89617166666659,0.0,10590.620566907408,10569.624820611112
2025-02-01 03:50:00,2025-02-01 04:00:00,2025-02-01 00:00:00,2025-02-01 00:00:00,22,3:50-4:00,M3,0,0.3405,0.3405,2025-02-02 00:00:00,509.13346666666666,0.0,524.240825,524.240825,178.5040009125,0.0,-0.0,178.5040009125,0.0,0.0,15.107358333333309,0.0,0.0,10569.624820611112,10583.221443111112
2025-02-01 04:00:00,2025-02-01 04:10:00,2025-02-01 00:00:00,2025-02-01 00:00:00,23,4:00-4:10,M3,0,0.3164,0.3164,2025-02-02 00:00:00,483.6166666666666,0.0,1398.4721666666665,1398.4721666666665,442.4765935333333,0.0,-0.0,442.4765935333333,0.0,0.0,240.8650632098761,0.0,673.9904367901238,10583.221443111112,10800.0
2025-02-01 04:10:00,2025-02-01 04:20:00,2025-02-01 00:00:00,2025-02-01 00:00:00,24,4:10-4:20,M3,0,0.3916,0.3916,2025-02-02 00:00:00,491.1868,0.0,546.26149,546.26149,213.915999484,0.0,-0.0,213.915999484,0.0,0.0,0.0,0.0,55.074689999999975,10800.0,10800.0
2025-02-01 04:20:00,2025-02-01 04:30:00,2025-02-01 00:00:00,2025-02-01 00:00:00,25,4:20-4:30,M3,0,0.4109,0.4109,2025-02-02 00:00:00,504.64528333333334,0.0,529.1655466666666,529.1655466666666,217.43412312533331,0.0,-0.0,217.43412312533331,0.0,0.0,0.0,0.0,24.520263333333276,10800.0,10800.0
2025-02-01 04:30:00,2025-02-01 04:40:00,2025-02-01 00:00:00,2025-02-01 00:00:00,26,4:30-4:40,M3,0,0.361,0.361,2025-02-02 00:00:00,505.57833333333326,0.0,545.5388333333333,545.5388333333333,196.93951883333332,0.0,-0.0,196.93951883333332,0.0,0.0,0.0,0.0,39.960500000000025,10800.0,10800.0
2025-02-01 04:40:00,2025-02-01 04:50:00,2025-02-01 00:00:00,2025-02-01 00:00:00,27,4:40-4:50,M3,0,0.3799,0.3799,2025-02-02 00:00:00,503.23096666666663,0.0,569.37051,569.37051,216.303856749,0.0,-0.0,216.303856749,0.0,0.0,0.0,0.0,66.13954333333334,10800.0,10800.0
2025-02-01 04:50:00,2025-02-01 05:00:00,2025-02-01 00:00:00,2025-02-01 00:00:00,28,4:50-5:00,M3,0,0.4094,0.4094,2025-02-02 00:00:00,502.84698333333336,0.00023333333333333333,578.4276816666666,578.4276816666666,236.8082928743333,0.0,-0.0,236.8082928743333,0.0,0.0,0.0,0.0,75.58093166666652,10800.0,10800.0
